timestamp,flags,pitch,yaw,pitch_rate,yaw_rate,origin_sysid,origin_compid,target_system,target_component,gimbal_device_id
2889436457,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2889536891,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2889603242,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2889687764,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2889768554,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2889851957,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2889951995,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2890055015,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2890140756,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2890202960,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2890286155,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2890352331,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2890434858,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2890519969,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2890601352,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2890670468,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2890752081,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2890851194,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2890935285,12,nan,nan,-0.008059517,0.38776055,255,190,1,1,0
2891034900,12,nan,nan,-0.0043397397,0.38776055,255,190,1,1,0
2891106859,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2891169551,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2891251964,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2891350854,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2891468860,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2891551898,12,nan,nan,-0.0074395537,0.38776055,255,190,1,1,0
2891679932,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2891734931,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2891788851,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2891869594,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2891952872,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2892004894,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2892085189,12,nan,nan,-0.006199628,0.38870934,255,190,1,1,0
2892187609,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2892252439,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2892302931,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2892368959,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2892450701,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2892503018,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2892584869,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2892686280,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2892751919,12,nan,nan,-0.0055796653,0.38776055,255,190,1,1,0
2892851680,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2892934865,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2893017858,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2893100793,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2893183920,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2893284856,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2893368092,12,nan,nan,-0.0055796653,0.38776055,255,190,1,1,0
2893436138,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2893517062,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2893601508,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2893717997,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2893785336,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2893867173,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2893919900,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2894002142,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2894053023,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2894134502,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2894235130,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2894301965,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2894384870,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2894468867,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2894567085,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2894667868,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2894784479,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2894869719,12,nan,nan,-0.0049597025,0.38823494,255,190,1,1,0
2894916863,12,nan,nan,-0.0074395537,0.38776055,255,190,1,1,0
2895000855,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2895084393,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2895135250,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2895218285,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2895300617,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2895368793,12,nan,nan,-0.006199628,0.38918373,255,190,1,1,0
2895449861,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2895533757,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2895634160,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2895736854,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2895817864,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2895899872,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2895967860,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2896054208,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2896117551,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2896183863,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2896235746,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2896316879,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2896400919,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2896468196,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2896533865,12,nan,nan,-0.0055796653,0.38728616,255,190,1,1,0
2896586379,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2896667862,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2896783115,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2896866284,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2896951739,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2897052866,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2897133896,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2897250732,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2897335503,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2897433890,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2897516878,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2897600696,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2897683864,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2897766026,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2897849983,12,nan,nan,-0.0074395537,0.38823494,255,190,1,1,0
2897950192,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2898034357,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2898102262,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2898199860,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2898286366,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2898367000,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2898448919,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2898553014,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2898635404,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2898719866,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2898799904,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2898865929,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2898949964,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2899053122,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2899132610,12,nan,nan,-0.0074395537,0.38776055,255,190,1,1,0
2899215858,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2899316022,12,nan,nan,-0.0074395537,0.38776055,255,190,1,1,0
2899400863,12,nan,nan,-0.0055796653,0.38918373,255,190,1,1,0
2899467360,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2899533065,12,nan,nan,-0.0074395537,0.38776055,255,190,1,1,0
2899616931,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2899699551,12,nan,nan,-0.006199628,0.38681176,255,190,1,1,0
2899783214,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2899849954,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2900479918,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2900635013,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2900715354,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2900816000,12,nan,nan,-0.0074395537,0.38776055,255,190,1,1,0
2900900863,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2900983876,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2901067051,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2901132894,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2901249872,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2901333091,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2901416065,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2901504549,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2901566039,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2901632437,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2901683932,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
