timestamp,lat,lon,icao_address,altitude,heading,hor_velocity,ver_velocity,flags,squawk,altitude_type,callsign[0],callsign[1],callsign[2],callsign[3],callsign[4],callsign[5],callsign[6],callsign[7],callsign[8],emitter_type,tslc,uas_id[0],uas_id[1],uas_id[2],uas_id[3],uas_id[4],uas_id[5],uas_id[6],uas_id[7],uas_id[8],uas_id[9],uas_id[10],uas_id[11],uas_id[12],uas_id[13],uas_id[14],uas_id[15],uas_id[16],uas_id[17]
2894817040,39.60776,-76.7624512,10517391,10972.801,0.9773843,190.34,-0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2894825597,0.0,0.0,10738640,3550.9192,-3.1415927,0.0,0.0,258,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2894834047,39.547478399999996,-76.7756352,11075814,1188.7201,1.2342969,77.68,0.65,319,1141,0,78,54,56,65,72,32,32,32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2894843280,39.5462944,-76.8435776,11154913,8039.0996,1.1156145,216.06,9.42,319,7167,0,65,65,76,50,48,55,49,32,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2895816976,39.60776,-76.7624512,10517391,10972.801,0.9773843,190.34,-0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2895826244,0.0,0.0,10738640,3550.9192,-3.1415927,0.0,0.0,258,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2895834066,39.547478399999996,-76.7756352,11075814,1188.7201,1.2342969,77.68,0.65,319,1141,0,78,54,56,65,72,32,32,32,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2895843121,39.5462944,-76.8435776,11154913,8039.0996,1.1156145,216.06,9.42,319,7167,0,65,65,76,50,48,55,49,32,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2896817524,39.60776,-76.7624512,10517391,10972.801,0.9773843,190.34,-0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2896825247,0.0,0.0,10738640,3550.9192,-3.1415927,0.0,0.0,258,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2896833854,39.547478399999996,-76.7756352,11075814,1188.7201,1.2342969,77.68,0.65,319,1141,0,78,54,56,65,72,32,32,32,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
