timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
2889508655,2889507657,6684698,-0.0031994046,-0.0020997333,0.0010315407,0.34906584,2.1335333e-09,2.1362931e-09,5.180587e-09,6946842,-0.055929843,-0.0020445213,-0.0020025368,0.4,4.989625e-06,4.989621e-06,4.98963e-06,8943875,0.031421345,-2.5961082e-05,-0.0064386316,0.5,6.243434e-05,6.026515e-05,0.0012487674,1,1,1
2889528536,2889527143,6684698,-0.0032106317,-0.002101915,0.001030287,0.34906584,2.1339568e-09,2.1366544e-09,5.1841096e-09,6946842,-0.055315185,-0.0010231652,-0.0019999514,0.4,4.9911687e-06,4.9911687e-06,4.9912005e-06,8943875,0.031421345,-2.5961082e-05,-0.0064386316,0.5,6.243434e-05,6.026515e-05,0.0012487674,1,1,1
2889612439,2889606586,6684698,-0.0032090703,-0.0020884306,0.0010221505,0.34906584,2.129812e-09,2.1324562e-09,5.171463e-09,6946842,-0.053897966,-0.00045278465,-0.0019077284,0.4,4.973746e-06,4.973746e-06,4.9737605e-06,8943875,0.031452622,0.00016040914,-0.006340109,0.5,5.825045e-05,5.7937938e-05,0.0012479874,1,1,1
2889671940,2889671086,6684698,-0.0032202853,-0.0020900315,0.0010187776,0.34906584,2.1337259e-09,2.1363502e-09,5.176282e-09,6946842,-0.053121597,0.00075909233,-0.0019082632,0.4,4.9738615e-06,4.9738615e-06,4.9739265e-06,8943875,0.031532425,0.0003075614,-0.006293061,0.5,5.6343135e-05,5.6802113e-05,0.0012476258,1,1,1
2889727637,2889726499,6684698,-0.0032337501,-0.0020862583,0.0010164077,0.34906584,2.1367685e-09,2.1393187e-09,5.183856e-09,6946842,-0.0518554,0.0016641553,-0.0017091231,0.4,4.9767054e-06,4.9767054e-06,4.9767386e-06,8943875,0.03159088,0.00034044601,-0.006203462,0.5,5.4543158e-05,5.5688215e-05,0.0012472271,1,1,1
2889800970,2889799947,6684698,-0.0032331857,-0.0020742842,0.0010090341,0.34906584,2.1332949e-09,2.1358044e-09,5.1724878e-09,6946842,-0.050457347,0.0023044636,-0.0015319019,0.4,4.961551e-06,4.961551e-06,4.961558e-06,8943875,0.031904545,0.000638547,-0.0062947483,0.5,5.125204e-05,5.352944e-05,0.0012462364,1,1,1
2889874708,2889873440,6684698,-0.0032460333,-0.0020775693,0.0010066349,0.34906584,2.1409454e-09,2.1434448e-09,5.184161e-09,6946842,-0.04981207,0.0033682173,-0.001540311,0.4,4.9672867e-06,4.9672867e-06,4.9673536e-06,8943875,0.031994253,0.0008280401,-0.0063598757,0.5,4.9749193e-05,5.248795e-05,0.0012456983,1,1,1
2889928722,2889927355,6684698,-0.0032562548,-0.002073999,0.0010050121,0.34906584,2.1437387e-09,2.1461815e-09,5.1908877e-09,6946842,-0.048734266,0.004025097,-0.0015127753,0.4,4.970272e-06,4.970272e-06,4.9703053e-06,8943875,0.032058015,0.0008592731,-0.006325751,0.5,4.8324695e-05,5.1468833e-05,0.0012451282,1,1,1
2890005078,2890003800,6684698,-0.0032546325,-0.0020632907,0.0009996924,0.34906584,2.1422009e-09,2.144616e-09,5.181324e-09,6946842,-0.04746586,0.004666863,-0.0013840497,0.4,4.955932e-06,4.955932e-06,4.9559376e-06,8943875,0.03219204,0.00095479295,-0.0063084476,0.5,4.572447e-05,4.9513314e-05,0.0012439153,1,1,1
2890064913,2890063757,6684698,-0.0032546045,-0.0020584473,0.0009941371,0.34906584,2.141686e-09,2.1440891e-09,5.1739177e-09,6946842,-0.04663034,0.0055664354,-0.0013925774,0.4,4.9443606e-06,4.9443606e-06,4.9444157e-06,8943875,0.032143768,0.0010615409,-0.006277575,0.5,4.4533535e-05,4.857533e-05,0.0012431872,1,1,1
2890148916,2890147696,6684698,-0.0032696826,-0.0020591859,0.0009950434,0.34906584,2.1531859e-09,2.155582e-09,5.195044e-09,6946842,-0.045699496,0.0059355046,-0.0013102146,0.4,4.9593373e-06,4.9593373e-06,4.9593773e-06,8943875,0.03215308,0.0010904826,-0.0061504534,0.5,4.2348394e-05,4.6774487e-05,0.0012418994,1,1,1
2890204399,2890203203,6684698,-0.0032769253,-0.002054531,0.0009940327,0.34906584,2.158155e-09,2.1605189e-09,5.203723e-09,6946842,-0.04458264,0.006154728,-0.0010042251,0.4,4.963204e-06,4.963204e-06,4.963216e-06,8943875,0.032271646,0.0011377594,-0.006100675,0.5,4.133672e-05,4.5905676e-05,0.0012415526,1,1,1
2890268852,2890267610,6684698,-0.0032740354,-0.002047198,0.0009887707,0.34906584,2.1560758e-09,2.1584317e-09,5.191925e-09,6946842,-0.043548077,0.007087442,-0.0010197321,0.4,4.9474643e-06,4.9474643e-06,4.947523e-06,8943875,0.03240858,0.0012489026,-0.0060903686,0.5,4.0382165e-05,4.5059656e-05,0.0012413356,1,1,1
2890377948,2890377031,6684698,-0.0032791223,-0.0020420025,0.0009869306,0.34906584,2.1661697e-09,2.168525e-09,5.2041718e-09,6946842,-0.04244869,0.0070662713,-0.00072731584,0.4,4.951096e-06,4.951096e-06,4.9511327e-06,8943875,0.032390952,0.0012591587,-0.0059192204,0.5,3.8617447e-05,4.344966e-05,0.0012409051,1,1,1
