timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,custom_faults,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,average_time_to_full,over_discharge_count,connected,source,priority,model,fw_version[0],fw_version[1],serial_number[0],serial_number[1],serial_number[2],serial_number[3],serial_number[4],serial_number[5],serial_number[6],serial_number[7],serial_number[8],serial_number[9],serial_number[10],serial_number[11],serial_number[12],serial_number[13],serial_number[14],serial_number[15],id,is_powering_off,is_required,warning,mode
2890186862,44.39175,44.38656,24.824295,25.465528,22.136915,6427.471,0.3199491,1.0963666,520.0634,nan,12,3.69888,3.69888,3.69888,3.69888,3.69888,3.69888,3.69888,3.69888,3.69888,3.69888,3.69888,3.69888,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2890389200,44.3859,44.384426,25.018444,25.524874,22.164679,6428.917,0.3198143,1.096391,519.178,nan,12,3.698702,3.698702,3.698702,3.698702,3.698702,3.698702,3.698702,3.698702,3.698702,3.698702,3.698702,3.698702,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2890591590,44.34144,44.37748,27.305832,26.040438,22.195663,6430.447,0.31967127,1.0963188,518.01196,nan,12,3.6981232,3.6981232,3.6981232,3.6981232,3.6981232,3.6981232,3.6981232,3.6981232,3.6981232,3.6981232,3.6981232,3.6981232,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2890794010,44.37186,44.374084,25.584278,26.126938,22.23592,6431.931,0.3195328,1.0963612,517.01416,nan,12,3.6978405,3.6978405,3.6978405,3.6978405,3.6978405,3.6978405,3.6978405,3.6978405,3.6978405,3.6978405,3.6978405,3.6978405,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2890996317,44.36172,44.371452,26.025639,26.140963,22.265594,6433.403,0.3193955,1.0964189,516.0656,nan,12,3.697621,3.697621,3.697621,3.697621,3.697621,3.697621,3.697621,3.697621,3.697621,3.697621,3.697621,3.697621,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2891198667,44.346706,44.368958,26.7457,26.170498,22.293911,6434.875,0.31925806,1.096466,515.1252,nan,12,3.6974132,3.6974132,3.6974132,3.6974132,3.6974132,3.6974132,3.6974132,3.6974132,3.6974132,3.6974132,3.6974132,3.6974132,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2891401065,44.329937,44.365116,27.547092,26.33191,22.32507,6436.371,0.31911817,1.0964842,514.1108,nan,12,3.697093,3.697093,3.697093,3.697093,3.697093,3.697093,3.697093,3.697093,3.697093,3.697093,3.697093,3.697093,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2891603587,44.33052,44.36486,27.502213,26.158087,22.351171,6437.811,0.31898376,1.0965719,513.30115,nan,12,3.6970718,3.6970718,3.6970718,3.6970718,3.6970718,3.6970718,3.6970718,3.6970718,3.6970718,3.6970718,3.6970718,3.6970718,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2891704749,44.345924,44.363136,26.64627,26.239452,22.371693,6438.56,0.31891373,1.0965759,512.79816,nan,12,3.696928,3.696928,3.696928,3.696928,3.696928,3.696928,3.696928,3.696928,3.696928,3.696928,3.696928,3.696928,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2891907290,44.37381,44.359215,24.924965,26.369152,22.414066,6440.07,0.3187725,1.0966109,511.76306,nan,12,3.6966012,3.6966012,3.6966012,3.6966012,3.6966012,3.6966012,3.6966012,3.6966012,3.6966012,3.6966012,3.6966012,3.6966012,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2892109689,44.341244,44.35274,26.531715,26.74003,22.449646,6441.6265,0.31862655,1.096595,510.57614,nan,12,3.6960618,3.6960618,3.6960618,3.6960618,3.6960618,3.6960618,3.6960618,3.6960618,3.6960618,3.6960618,3.6960618,3.6960618,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2892312143,44.382,44.356106,24.295654,26.153793,22.477806,6443.0254,0.3184961,1.0967879,509.93268,nan,12,3.6963422,3.6963422,3.6963422,3.6963422,3.6963422,3.6963422,3.6963422,3.6963422,3.6963422,3.6963422,3.6963422,3.6963422,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2892514815,44.35704,44.357635,25.583534,25.866936,22.494162,6444.4424,0.31836352,1.0968853,509.23526,nan,12,3.6964695,3.6964695,3.6964695,3.6964695,3.6964695,3.6964695,3.6964695,3.6964695,3.6964695,3.6964695,3.6964695,3.6964695,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2892717147,44.42412,44.367058,21.995373,24.87368,22.509874,6445.7173,0.31824484,1.0971212,509.01477,nan,12,3.697255,3.697255,3.697255,3.697255,3.697255,3.697255,3.697255,3.697255,3.697255,3.697255,3.697255,3.697255,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2892919518,44.397797,44.369083,23.268127,24.711395,22.52027,6447.092,0.3181161,1.097148,508.46036,nan,12,3.6974237,3.6974237,3.6974237,3.6974237,3.6974237,3.6974237,3.6974237,3.6974237,3.6974237,3.6974237,3.6974237,3.6974237,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2893121816,44.352943,44.36997,25.779171,24.719038,22.52708,6448.4756,0.31798637,1.0971227,507.8745,nan,12,3.6974974,3.6974974,3.6974974,3.6974974,3.6974974,3.6974974,3.6974974,3.6974974,3.6974974,3.6974974,3.6974974,3.6974974,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2893324177,44.398964,44.37416,23.213825,24.347,22.545242,6449.7983,0.31786272,1.0971949,507.49985,nan,12,3.6978467,3.6978467,3.6978467,3.6978467,3.6978467,3.6978467,3.6978467,3.6978467,3.6978467,3.6978467,3.6978467,3.6978467,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2893526491,44.32194,44.371334,27.392368,24.72397,22.551327,6451.2256,0.31772873,1.0970869,506.77554,nan,12,3.697611,3.697611,3.697611,3.697611,3.697611,3.697611,3.697611,3.697611,3.697611,3.697611,3.697611,3.697611,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2893728840,44.33871,44.363964,26.186066,25.3611,22.590479,6452.7363,0.3175869,1.096968,505.78314,nan,12,3.696997,3.696997,3.696997,3.696997,3.696997,3.696997,3.696997,3.696997,3.696997,3.696997,3.696997,3.696997,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2893931243,44.36445,44.360405,24.758091,25.543545,22.6239,6454.2026,0.31744963,1.0969694,504.94806,nan,12,3.6967003,3.6967003,3.6967003,3.6967003,3.6967003,3.6967003,3.6967003,3.6967003,3.6967003,3.6967003,3.6967003,3.6967003,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2894133740,44.342415,44.35728,24.196472,25.388573,22.645994,6455.6157,0.3173175,1.0971186,504.29736,nan,12,3.69644,3.69644,3.69644,3.69644,3.69644,3.69644,3.69644,3.69644,3.69644,3.69644,3.69644,3.69644,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2894336075,44.401695,44.36273,22.747421,24.782812,22.658321,6456.935,0.31719434,1.0972699,503.95694,nan,12,3.696894,3.696894,3.696894,3.696894,3.696894,3.696894,3.696894,3.696894,3.696894,3.696894,3.696894,3.696894,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2894538441,44.36757,44.365337,24.596424,24.57096,22.661953,6458.286,0.31706786,1.0973055,503.51193,nan,12,3.6971114,3.6971114,3.6971114,3.6971114,3.6971114,3.6971114,3.6971114,3.6971114,3.6971114,3.6971114,3.6971114,3.6971114,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2894740952,44.367764,44.365997,24.472942,24.53984,22.67681,6459.6626,0.31693894,1.097304,502.98978,nan,12,3.6971664,3.6971664,3.6971664,3.6971664,3.6971664,3.6971664,3.6971664,3.6971664,3.6971664,3.6971664,3.6971664,3.6971664,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
