timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
2890298887,0.12235599,0.3260247,-2.7833767,-2.7402427,-0.15472385,-0.14263554,-0.3589729,0.039266348,-0.4194249,-0.33719096,0.12889001,0.0,0.0,0.0,-0.021091029,-0.016955847,-0.4931253
2890402290,0.12235599,0.3260247,-2.7833767,-2.7637124,0.0,-0.15000896,-0.3487352,0.038334846,-0.40839073,-0.19718444,0.036022358,0.0,0.0,0.0,-0.02073366,-0.0100108925,-0.49785733
2890501195,0.12235599,0.3260247,-2.7833767,-2.779084,0.0,-0.15582249,-0.3332944,0.034687042,-0.29630172,-0.19928826,-0.07468332,0.0,0.0,0.0,-0.015212708,-0.010231847,-0.50349826
2890602984,0.12235599,0.3260247,-2.7833767,-2.7879148,0.0,-0.16104048,-0.30963457,0.030531406,-0.3353423,0.026620694,-0.07410205,0.0,0.0,0.0,-0.017216202,0.001366685,-0.50346863
2890702956,0.12235599,0.3260247,-2.7833767,-2.7906144,0.0,-0.16214661,-0.2831261,0.027546406,-0.2583958,-0.0041275863,-0.10474571,0.0,0.0,0.0,-0.013307711,-0.00021257595,-0.5050301
2890797284,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.16082026,-0.2522878,0.024987936,-0.24789354,0.058610134,-0.052085567,0.0,0.0,0.0,-0.012697312,0.0030020594,-0.5023468
2890901069,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.15783899,-0.21700184,0.023888826,-0.28095883,0.10540431,-0.058434468,0.0,0.0,0.0,-0.014401368,0.0054028067,-0.50267035
2891002627,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.15427724,-0.18038878,0.02510953,-0.22506322,0.09886863,-0.034859214,0.0,0.0,0.0,-0.011509312,0.005055957,-0.5014691
2891100259,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.14978357,-0.14306365,0.027062416,-0.21860167,0.3408147,-0.059365958,0.0,0.0,0.0,-0.011206253,0.017471304,-0.5027178
2891205630,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.14261875,-0.099922776,0.028626442,-0.22880647,0.27197906,-0.015041314,0.0,0.0,0.0,-0.011677103,0.013880409,-0.50045925
2891304296,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.13407192,-0.05843093,0.030804634,-0.20644252,0.3127607,0.045092776,0.0,0.0,0.0,-0.010470591,0.015862959,-0.49739516
2891404229,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.12497339,-0.016827982,0.03446126,-0.19615377,0.44736877,0.04251682,0.0,0.0,0.0,-0.009945195,0.02268205,-0.4972181
2891496457,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.115757406,0.02653451,0.035681486,-0.15632564,0.48164603,-0.06325218,0.0,0.0,0.0,-0.008014742,0.024693767,-0.5027716
2891605577,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.105226286,0.07176909,0.034435987,-0.23925225,0.41984138,-0.14014293,0.0,0.0,0.0,-0.012364477,0.021697262,-0.5068058
2891702876,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.097973175,0.112196244,0.032764435,-0.29564196,0.50658435,-0.13268176,0.0,0.0,0.0,-0.015268658,0.026162941,-0.5064756
2891803506,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.09154377,0.1487356,0.031836033,-0.3493744,0.49126366,-0.123244114,0.0,0.0,0.0,-0.018029284,0.025351403,-0.5060733
2891898043,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.087285645,0.17861547,0.030028582,-0.23214863,0.45124087,-0.16694276,0.0,0.0,0.0,-0.012037451,0.023397898,-0.5084957
2891994678,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.082189746,0.20263998,0.027945995,-0.31958142,0.47273734,-0.1422799,0.0,0.0,0.0,-0.01652776,0.024448508,-0.5071799
2892100772,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.076904975,0.22622234,0.027245522,-0.3295524,0.4242525,-0.0046451995,0.0,0.0,0.0,-0.016809577,0.021639973,-0.5002069
2892201943,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.07313038,0.246347,0.027882814,-0.51302046,0.31589139,0.16246063,0.0,0.0,0.0,-0.025715927,0.015834535,-0.4915803
2892301273,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.07023414,0.26219514,0.030007124,-0.34108818,0.36713532,0.14066184,0.0,0.0,0.0,-0.017129404,0.018437488,-0.49249256
2892398971,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.066626556,0.27729866,0.03198552,-0.41453567,0.41936424,0.18962793,0.0,0.0,0.0,-0.020707471,0.020948676,-0.48986918
2892502286,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.062384266,0.29015556,0.034214735,-0.34168875,0.34280515,0.26661596,0.0,0.0,0.0,-0.01692606,0.016981361,-0.48578697
2892600689,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.057024542,0.3010068,0.0362854,-0.2666539,0.391598,0.30040172,0.0,0.0,0.0,-0.013155911,0.019320281,-0.4838195
2892696589,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.04978855,0.30766645,0.03767419,-0.30252317,0.3670396,0.26440275,0.0,0.0,0.0,-0.014981369,0.018176312,-0.4856418
2892797074,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.040824763,0.3091099,0.037499428,-0.26289177,0.28677863,0.23820817,0.0,0.0,0.0,-0.0130557995,0.014242074,-0.48704857
2892900462,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.029457385,0.30379415,0.03785515,-0.24568892,0.20247418,0.33640707,0.0,0.0,0.0,-0.012071896,0.009948545,-0.48188123
2892995629,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.01824684,0.29487255,0.036272764,-0.1692137,0.20411105,0.18846193,0.0,0.0,0.0,-0.008446456,0.01018839,-0.48947564
2893104428,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-0.006660029,0.27775404,0.033637285,-0.12952213,0.011804126,0.2511614,0.0,0.0,0.0,-0.0064228512,0.00058535277,-0.48634475
2893201705,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,-5.013384e-05,0.25848994,0.03391981,-0.26698118,-0.09949758,0.2789552,0.0,0.0,0.0,-0.01319773,-0.004918482,-0.48475534
2893297787,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.0056795417,0.23562321,0.0314703,-0.24189752,-0.09458053,0.2347621,0.0,0.0,0.0,-0.012013377,-0.004697161,-0.4869952
2893392501,0.12235599,0.3260247,-2.7833767,-2.7893233,0.0,0.010959138,0.21205834,0.026313305,-0.21556482,-0.112101406,0.06933876,0.0,0.0,0.0,-0.010889709,-0.0056630373,-0.49540544
