timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
2881604863,2881599396,1.7662514e-07,0.000708042,0.022391202,0.0004462574,0.0063274256,0.00862455,8390807,0,0.13521747,0.16532387,0.01937369,0.027674405,0.009347356,0.003976522,0.0,0.0040744473,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2881797059,2881795708,1.3664511e-07,0.0006422921,0.020853125,0.0009336748,0.0067165983,0.008834287,8390807,0,0.1342359,0.16484606,0.029482087,0.00482514,0.007828491,0.0051979236,0.0,0.00044783636,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2882003696,2882002559,1.2533918e-07,0.00059065985,0.019313354,0.0003970978,0.0048527876,0.006507846,8390807,0,0.13476108,0.16539134,0.0057935356,0.014807424,0.010726624,0.006322406,0.0,0.0054500345,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2882197873,2882191474,1.14598976e-07,0.00054497516,0.018023076,0.0005147612,0.0036496683,0.004530278,8390807,0,0.13511564,0.16488025,0.018303974,0.017892523,0.008009451,0.0048199315,0.0,0.008852184,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2882401080,2882395276,1.826764e-07,0.0006492729,0.020385578,0.00045872925,0.0026462306,0.0032312078,8390807,0,0.13559373,0.16536711,0.024649438,0.0074020023,0.0077671437,0.00437271,0.0,0.011971116,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2882604740,2882603673,1.8353249e-07,0.00072364684,0.023021732,0.00010592182,0.0024574066,0.0032689625,8390807,0,0.13536076,0.16585954,0.02086609,0.015616427,0.007994597,0.0045917965,0.0,0.0038139448,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2882795484,2882793989,1.676217e-07,0.00068478443,0.022345418,0.00016334928,0.0028421131,0.0031410884,8390807,0,0.13495564,0.16532212,0.017027065,0.0048282333,0.010856216,0.0059782006,0.0,0.0011626364,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2883001910,2883000889,1.4968039e-07,0.0006461054,0.02114451,0.0003551517,0.0033190562,0.0037906913,8390807,0,0.13568902,0.16534337,0.01979618,0.018401785,0.006286369,0.003254041,0.0,0.015097118,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2883201220,2883200197,1.5806022e-07,0.00064170355,0.020826036,0.00043420517,0.0062241443,0.0066581313,8390807,0,0.13506864,0.1653916,0.03566379,0.00786583,0.011075845,0.0031969517,0.0,0.0012016335,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2883405796,2883404051,1.3979663e-07,0.000574324,0.018925263,0.0003936298,0.008566578,0.00907041,8390807,0,0.13507769,0.16537954,0.032210562,0.021850385,0.008086779,0.0041444837,0.0,0.012750103,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
