timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
2901875185,0.116410606,-0.033941127,0.8658188,4496,0,3.4987862,6.0568337,-6.882739,4993,0
2901881180,-0.06792906,-0.0986823,0.79139113,5995,0,0.375389,-5.5831637,-11.71766,4915,0
2901885677,0.050260343,0.014706021,0.7914947,4497,0,-2.8608055,2.561234,-12.308853,5011,0
2901896169,-0.09764717,-0.118891224,0.8332025,5995,0,-0.06062533,-1.0819321,-9.313639,5008,0
2901900666,0.13875617,-0.1491441,0.859488,4497,0,1.4669497,4.449686,-8.055504,4991,0
2901911165,0.08240182,-0.08750803,0.7844733,6002,0,-0.113765664,2.5649602,-8.478514,5001,0
2901920155,0.046046123,-0.1487794,0.7971758,8990,0,0.39911178,-1.0795866,-10.383672,8727,0
2901924696,0.10922123,-0.11456289,0.86052114,4541,0,-0.12918782,2.1946092,-8.316805,5000,0
2901935142,0.070299074,-0.119893216,0.8074239,5996,0,-0.232055,1.8060753,-10.064051,5000,0
2901939685,0.0863514,-0.11988546,0.7749942,4543,0,3.2042918,-2.163407,-10.269848,4998,0
2901950130,0.086078554,-0.12715153,0.8412403,5995,0,0.1512855,-0.34637073,-8.890273,5000,0
2901954674,-0.0074986387,-0.17679949,0.827334,4544,0,-1.327331,0.18410338,-10.478993,5000,0
2901959129,0.103376694,-0.12449261,0.8140791,4455,0,-0.65906274,1.6651766,-10.414122,5000,0
2901965124,0.055315122,-0.09412258,0.7988986,5995,0,4.784169,-0.7352482,-7.569379,5006,0
2901969663,0.07402703,-0.042121552,0.8088298,4539,0,-3.210478,0.2806444,-11.181537,4993,0
2901980108,0.07402719,-0.14582051,0.8188442,5995,0,-2.17453,-0.10239817,-10.239944,5016,0
2901984652,0.072663896,-0.078010336,0.8180131,4544,0,-0.22293538,2.1189022,-10.131577,4986,0
2901996596,0.041279987,-0.053514265,0.8119194,7494,0,-2.0194073,-0.7950617,-11.466374,7527,0
2902001093,0.12984449,-0.14268643,0.81250364,4497,0,2.2946076,0.10355767,-9.879913,4970,0
2902007139,0.0797528,-0.06808265,0.8398828,6046,0,-1.6997766,-0.66193503,-9.203174,4380,0
2902016087,-0.004354325,-0.107117735,0.84527016,8948,0,1.3714709,2.7112622,-9.859038,8782,0
2902026576,0.0976686,-0.09326099,0.7902647,5997,0,1.6450874,2.0061088,-9.597861,4995,0
2902031072,0.09844964,-0.067780375,0.8049167,4496,0,-1.004355,0.2561597,-8.67056,5001,0
2902043067,0.013113196,-0.07541781,0.80105835,7499,0,-0.50743747,0.40943962,-10.512559,6226,0
2902047559,-0.1157854,-0.17924264,0.76916116,4492,0,4.194227,-4.9725084,-7.77345,4999,0
2902052110,0.08359853,0.013494974,0.8021381,4551,0,-1.0872264,2.7859097,-12.656677,5003,0
2902056553,-0.028997617,-0.09061145,0.80857265,4443,0,-2.8615348,-0.47713915,-10.113682,4996,0
2902062549,-0.17596494,-0.17686069,0.8539355,5996,0,0.63770264,2.5929313,-9.312707,4999,0
2902067093,-0.05078424,-0.10987868,0.81215394,4544,0,-0.119211346,-0.49707812,-10.67526,5136,0
2902077538,0.02549627,-0.09052953,0.8219296,5996,0,-0.12102352,2.2131464,-10.557162,5000,0
2902082081,-0.17103794,-0.16240712,0.8284232,4543,0,-0.57863617,-2.3700893,-8.397579,5111,0
2902092527,-0.16059862,-0.13344869,0.81960624,5995,0,0.532169,-2.3495088,-7.3401957,5625,0
2902097070,-0.15988353,-0.12391475,0.82385397,4543,0,-1.4606242,2.616946,-12.804925,4555,0
2902107517,-0.19761868,-0.16746962,0.8032278,5997,0,-0.10729865,-2.6386454,-7.700361,4376,0
2902112060,0.0129752485,-0.17572562,0.79191726,4543,0,-0.026018793,3.241714,-8.042592,5118,0
